variable,description
nodal contact gap,"Contact gap distance, evaluated at contact surface nodes"
nodal contact pressure,"Contact pressure, evaluated at contact surface nodes"
nodal contact traction,"Contact traction vectors, evaluated at contact surface nodes"
nodal fluid flux,"Fluid flux in biphasic, biphasic-solute, triphasic, multiphasic, fluid-FSI and biphasic-FSI materials"
nodal fluid velocity,"Fluid velocity $\mathbf{v}^{f}$ in fluid and fluid-FSI materials"
nodal shell director,The director of a shell node. 
nodal stress,"The Cauchy stress, projected to the nodes."
nodal surface traction,Contact nodal tractions
nodal vector gap,Contact gap vector at surface nodes
nodal velocity,The nodal velocities
octahedral plastic strain,octahedral plastic strain
osmolarity,Element's average osmolarity in biphasic/triphasic/multiphasic analysis
parameter,Stores heterogeneous material parameter data
pressure gap,Pressure gap between opposing surfaces in a biphasic contact analysis
reaction forces,The nodal reaction forces.
receptor-ligand concentration,Receptor-ligand concentration in a biphasic-solute analysis.
referential fixed charge density,"Referential fixed charge density $c_{r}^{F}$, which may evolve with chemical reactions"
,"$\varphi_{r}^{s}$, which may evolve with chemical reactions"
relative fluid velocity,Average element fluid velocity relative to mesh $\mathbf{w}$ in fluid and fluid-FSI materials
relative volume,Relative volume $J=\det\mathbf{F}$
right Hencky,Right Hencky strain $\mathbf{H}=\frac{1}{2}\ln\mathbf{C}$
right stretch,Right stretch tensor $\mathbf{U}=\mathbf{C}^{1/2}$
rigid acceleration,Rigid body center of mass acceleration
rigid angular acceleration,Rigid body angular acceleration
rigid angular momentum,Rigid body angular momentum
rigid angular position,Rigid body rotation pseudo-vector
rigid angular velocity,Rigid body angular velocity
rigid force,Total force applied to the rigid body
rigid kinetic energy,Rigid body kinetic energy
rigid linear momentum,Rigid body linear momentum
rigid position,Rigid body center of mass position
rigid rotation vector,Rigid body rotation pseudo-vector
rigid torque,Rigid body moment
rigid velocity,Rigid body center of mass velocity
RVE generations,Number of generations in reactive viscoelastic material
RVE reforming bonds,Fraction of weak bonds available to break and reform in reactive viscoelastic material
RVE strain,Strain measure used in strain-dependent reactive viscoelastic relaxation and weak bond recruitment
sbm concentrationMAT3D,Average element solid-bound molecule concentration
sbm referential apparent density,Average element solid-bound molecule referential apparent density
shell bottom nodal strain,Shell Lagrange strain extrapolated to bottom nodes
shell bottom nodal stress,Shell Cauchy stress extrapolated to bottom nodes
shell bottom strain,Average of shell Lagrange strain extrapolated to bottom surface
shell bottom stress,Average of shell Cauchy stress extrapolated to bottom surface
shell director,The shell director
shell relative volume,Relative volume of shell element
shell strain,Average strain in shell element
shell thickness,Shell thickness
shell top nodal strain,Shell Lagrange strain extrapolated to top nodes
shell top nodal stress,Shell Cauchy stress extrapolated to top nodes
shell top strain,Average of shell Lagrange strain extrapolated to top surface
shell top stress,Average of shell Cauchy stress extrapolated to top surface
solute concentration,"Solute concentration $c$ in biphasic-solute materials, or $c^{\alpha}$ in triphasic/multiphasic materials"
solute flux,"Solute flux $\mathbf{j}$ in biphasic-solute materials or $\mathbf{j}^{\alpha}$ in triphasic/multiphasic materials."
specific strain energy,Average element specific strain energy
SPR principal stress,Principal stress values obtained via SPR projection
SPR stress,Cauchy stress obtained via SPR projection
SPR-P1 stress,Cauchy stress obtained via SPR projection (first-order projection)
strain energy density,Strain energy density $\Psi\left(\mathbf{C}\right)$
stress,Cauchy stress
surface traction,Nodal surface tractions of nodes on a contact surface
uncoupled pressure,The pressure of an uncoupled material
ut4 nodal stress,Stresses at the nodes of the UT4 element
vector gap,The vector gap at nodes of a contact surface
velocity,Nodal velocities (fluid nodal velocities in fluid analyses)
volume fraction,Average element volume fraction of a solid mixture
in-situ target stretch,the fiber stretch induced by the initial prestrain gradient
PK1 norm,The norm of the PK1 stress of a micro material 
PK1 stress,The PK1 stress of the element.
prestrain stretch,the stretch induced by the effective prestrain gradient
prestrain correction,the 3x3 prestrain correction tensor
SPR infinitesimal strain,The infinitesimal strain tensor recovered using SPR
SPR Lagrange strain,The Lagrange strain recovered using SPR
SPR prestrain correction,The 3x3 prestrain correction tensor (recovered with SPR)
SPR relative volume,The relative volume (i.e. det F) recovered using the SPR method
