variable,Description
Pzy,The zy component of the PK1 stress
Pzz,The zz component of the PK1 stress
s1x,The x-component of the 1st Eigen vector of the Cauchy stress
s1y,The y-component of the 1st Eigen vector of the Cauchy stress
s1z,The z-component of the 1st Eigen vector of the Cauchy stress
s2x,The x-component of the 2nd Eigen vector of the Cauchy stress
s2y,The y-component of the 2nd Eigen vector of the Cauchy stress
s2z,The z-component of the 2nd Eigen vector of the Cauchy stress
s3x,The x-component of the 3rd Eigen vector of the Cauchy stress
s3y,The y-component of the 3rd Eigen vector of the Cauchy stress
s3z,The z-component of the 3rd Eigen vector of the Cauchy stress
Sx,The xx-component of the PK2 stress
Sy,The yy-component of the PK2 stress
Sz,The zz-component of the PK2 stress
Sxy,The xy-component of the PK2 stress
Sxz,The xz-component of the PK2 stress
Syz,The yz-component of the PK2 stress
wy,fraction of yielded bonds
wf,fraction of fatigued bonds
p,actual fluid pressure
cn,actual concentration of solute n
wx,x-component of fluid flux
wy,y-component of fluid flux
wz,z-component of fluid flux
jnx,x-component of flux of solute n
jny,y-component of flux of solute n
jnz,z-component of flux of solute n
jx,x-component of flux of solute in biphasic-solute material
jy,y-component of flux of solute in biphasic-solute material
jz,z-component of flux of solute in biphasic-solute material
Kpxx,xx-component of the permeability tensor. 
Kpxy,xy-component of the permeability tensor. 
Kpxz,xz-component of the permeability tensor. 
Kpyy,yy-component of the permeability tensor. 
Kpyz,yz-component of the permeability tensor. 
Kpzz,zz-component of the permeability tensor. 
Iex,The x-component of the element current density in a multiphasic material
Iey,The y-component of the element current density in a multiphasic material
Iez,The z-component of the element current density in a multiphasic material
esxx,The xx component of the solid stress of a biphasic material
esxy,The xy component of the solid stress of a biphasic material
esxz,The xz component of the solid stress of a biphasic material
esyy,The yy component of the solid stress of a biphasic material
esyz,The yz component of the solid stress of a biphasic material
eszz,The zz component of the solid stress of a biphasic material
fx,x-coordinate of element centroid position
fy,y-coordinate of element centroid position
fz,z--coordinate of element centroid position
fp,fluid pressure
fvx,x-component of fluid velocity
fvy,y-component of fluid velocity
fvz,z-component of fluid velocity
fJ,fluid volume ratio
fd,fluid density
fsp,fluid stress power
fax,x-component of fluid acceleration
fay,y-component of fluid acceleration
faz,z-component of fluid acceleration
fwx,x-component of fluid vorticity
fwy,y-component of fluid vorticity
fwz,z-component of fluid vorticity
fsxx,xx-component of fluid Cauchy stress
fsyy,yy-component of fluid Cauchy stress
fszz,zz-component of fluid Cauchy stress
fsxy,xy-component of fluid Cauchy stress
fsyz,yz-component of fluid Cauchy stress
fsxz,xz-component of fluid Cauchy stress
fmxs,maximum shear of fluid Cauchy stress
fs1,1st principal fluid Cauchy stress
fs2,2nd principal fluid Cauchy stress
fs3,3rd principal fluid Cauchy stress
fdxx,xx-component of fluid rate of deformation
fdyy,yy-component of fluid rate of deformation
fdzz,zz-component of fluid rate of deformation
fdxy,xy-component of fluid rate of deformation
fdyz,yz-component of fluid rate of deformation
fdxz,xz-component of fluid rate of deformation
discrete element elongation,The discrete element's elongation (i.e. current length minus initial length)
discrete element force,The scalar force along the element's axis. 
discrete element stretch,The discrete element's stretch (i.e. ratio of current length over initial length)
Fde.x,The x-component of the discrete element's force vector. 
Fde.y,The y-component of the discrete element's force vector. 
Fde.z,The z-component of the discrete element's force vector. 
normalized internal energy,The integral over space and time of the internal energy, normalized by the volume of the domain
avg,Average of another log variable over domain
pct,Percentile of another log variable over domain
max contact gap,The maximum contact gap value evaluated over the entire surface. 
x,x-coordinate of center of mass position
y,y-coordinate of center of mass position
z,z-coordinate of center of mass position
vx,x-component of center of mass velocity
vy,y-component of center of mass velocity
vz,z-component of center of mass velocity
ax,x-component of center of mass acceleration
ay,y-component of center of mass acceleration
az,z-component of center of mass acceleration
thx,x-component of rotation pseudo-vector
thy,y-component of rotation pseudo-vector
thz,z-component of rotation pseudo-vector
omx,x-component of angular velocity
omy,y-component of angular velocity
omz,z-component of angular velocity
alx,x-component of angular acceleration
aly,y-component of angular acceleration
alz,z-component of angular acceleration
qx,x-component of rotation quaternion
qy,y-component of rotation quaternion
qz,z-component of rotation quaternion
qw,w-component of rotation quaternion
Fx,x-component of the rigid body reaction force
Fy,y-component of the rigid body reaction force
Fz,z-component of the rigid body reaction force
Mx,x-component of the rigid body reaction torque
My,y-component of the rigid body reaction torque
Mz,z-component of the rigid body reaction torque
KE,kinetic energy
EulerX,X-Euler angle
EulerY,Y-Euler angle
EulerZ,Z-Euler angle
FHAsx,x-component of the finite helical axis
FHAsy,y-component of the finite helical axis
FHAsz,z-component of the finite helical axis
FHAwx,x-component of angular rotation vector around finite helical axis
FHAwy,y-component of angular rotation vector around finite helical axis
FHAwz,z-component of angular rotation vector around finite helical axis
IHAsx,x-component of the instantaneous helical axis
IHAsy,y-component of the instantaneous helical axis
IHAsz,z-component of the instantaneous helical axis
IHAwx,x-component of angular rotation vector around instantaneous helical axis
IHAwy,y-component of angular rotation vector around instantaneous helical axis
IHAwz,z-component of angular rotation vector around instantaneous helical axis
R11,11-component of the rigid body's rotation matrix
R12,12-component of the rigid body's rotation matrix
R13,13-component of the rigid body's rotation matrix
R21,21-component of the rigid body's rotation matrix
R22,22-component of the rigid body's rotation matrix
R23,23-component of the rigid body's rotation matrix
R31,31-component of the rigid body's rotation matrix
R32,32-component of the rigid body's rotation matrix
R33,33-component of the rigid body's rotation matrix
RCFx,x-component of rigid connector force
RCFy,y-component of rigid connector force
RCFz,z-component of rigid connector force
RCMx,x-component of rigid connector moment
RCMy,y-component of rigid connector moment
RCMz,z-component of rigid connector moment
RCx,x-component of rigid connector translation
RCy,y-component of rigid connector translation
RCz,z-component of rigid connector translation
RCthx,x-component of rigid connector rotation
RCthy,y-component of rigid connector rotation
RCthz,z-component of rigid connector rotation
solution_norm,The L2 norm of the solution vector
